"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"17390",40840041,"H","SE","SE corner of 164 ST and UNION TP","D","QE084",1038531.95310381,202134.34774964,1038485.83607006,202167.59079339,"164 ST","UNION TP",18519,"POINT (-73.8041719464 40.7213222312)"
"17405",21120049,"H","SW","SW corner of EASTCHESTER RD and MORRIS PARK AV","P","BX112",1027249.3126114,249367.26115763,1027254.14626314,249379.7932848,"EASTCHESTER RD","MORRIS PARK AV",9599,"POINT (-73.8445728603 40.851025766)"
"17406",10840066,"H","NE","NE corner of 2 AV and E 82 ST","D","MN084",997164.59194106,221749.53424096,997131.22061673,221740.49488896,"2 AV","E 82 ST",19932,"POINT (-73.9533714627 40.7753180831)"
"17419",41120044,"H","NW","NW corner of NORTHERN BLVD and 218 ST","D","QE112",1049619.46767415,216701.59486181,1049641.47353564,216686.06930231,"NORTHERN BLVD","218 ST",14342,"POINT (-73.7640311415 40.7612305713)"
"17420",10110414,"H","","","P","MN011",982196.71603698,195421.34083447,NA,NA,"","",18429,"POINT (-74.0074054103 40.7030629256)"
"17421",31010071,"H","S","S corner of 5 AV and BAY RIDGE AV","B","BKS101",978429.86694339,169947.39014205,978435.25111897,170032.13373897,"5 AV","BAY RIDGE AV",18327,"POINT (-74.0209690017 40.6331409387)"
"17431",10510047,"H","Direction TBD","Location Description T/K","B","MN051",987700.97897856,209554.22300172,987741.42356483,209531.96360644,"Street Name TBD","",1302,"POINT (-73.9875463915 40.7418538341)"
"17432",31840025,"H","E","E corner of AV U and E 71 ST","D","BKS184",1010037.34277031,165090.79749306,1009978.92129923,165105.50645313,"AV U","E 71 ST",13800,"POINT (-73.9071109464 40.6197749956)"
"17439",31550035,"H","SE","SE corner of AV U and E 4 ST","B","BKS155",993253.78578632,156938.69995213,993218.69268064,156971.14247255,"AV U","E 4 ST",26263,"POINT (-73.9675781584 40.5974321138)"
"17443",20410069,"H","SE","SE corner of GRAND CONCOURSE and E 161 ST","D","BX041",1005701.51089081,240417.60812521,1005681.77175707,240452.75634888,"GRAND CONCOURSE","E 161 ST",20823,"POINT (-73.9224890224 40.8265402241)"
"17453",10110338,"H","NE","NE corner of MAIDEN LA and NASSAU ST","B","MN011",981852.07138506,197596.27841371,981802.45895147,197604.9342363,"MAIDEN LA","NASSAU ST",6201,"POINT (-74.0086491863 40.7090325296)"
